conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,skill/competence,sector-specific,comprobar el motor de los ferrocarriles,"supervisar el motor de los ferrocarriles
controlar el motor de los trenes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,skill/competence,sector-specific,fabricar ingredientes,"elaborar ingredientes
producir ingredientes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,skill/competence,occupation-specific,mantener estanques de acuicultura,"realizar tareas de mantenimiento de estanques de acuicultura
desinfectar estanques de acuicultura
limpiar estanques de acuicultura",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,skill/competence,cross-sector,aplicar la política de riesgo de crédito,"ejecutar la política de riesgo de crédito
implementar la política de riesgo de crédito",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,skill/competence,occupation-specific,atender las solicitudes de los clientes relacionadas con la mercancía,"encargarse de las solicitudes de los clientes relacionadas con la mercancía
gestionar las solicitudes de los clientes relacionadas con la mercancía",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00abcddb-cbd4-477f-9aa0-9f27b32e312b,skill/competence,sector-specific,emplear capacidades clínicas avanzadas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,knowledge,sector-specific,modelo de desarrollo incremental,"modelo de desarrollo de software
modelo SDLC incremental
ciclo de vida de desarrollo incremental de software",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,knowledge,occupation-specific,utilización de equipos especiales para actividades diarias,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,knowledge,sector-specific,técnicas de aserrado,"métodos de aserrado
tecnologías de aserrado
procedimientos de aserrado",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,skill/competence,sector-specific,fabricar componentes de guitarras,"elaborar partes de guitarras
producir piezas de guitarras",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,skill/competence,sector-specific,manejar maquinaria agrícola,"manipular maquinaria agrícola
conducir maquinaria agrícola
operar maquinaria agrícola",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,skill/competence,occupation-specific,controlar las existencias de dispositivos pirotécnicos y retirar el material caducado,"colocar el material pirotécnico caducado en los contenedores correspondientes
retirar los dispositivos pirotécnicos caducados
controlar las existencias de artificios de pirotecnia
verificar la fecha de caducidad de los dispositivos pirotécnicos del stock",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,skill/competence,sector-specific,garantizar la satisfacción del cliente,"asegurar la satisfacción del cliente
velar por la satisfacción del cliente",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,skill/competence,sector-specific,fabricar prendas de vestir,"fabricar ropa
fabricar prendas de ropa",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,skill/competence,sector-specific,curar hojas de tabaco,secar hojas de tabaco,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,skill/competence,cross-sector,elaborar un programa de rehabilitación,"establecer un programa de rehabilitación
desarrollar un programa de rehabilitación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,skill/competence,sector-specific,llevar el inventario de los productos de limpieza,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,knowledge,occupation-specific,vulcanizado en frío,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,skill/competence,sector-specific,supervisar las actividades de limpieza,"vigilar las actividades
controlar las actividades de limpieza",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,skill/competence,cross-sector,intervenir como persona de contacto en incidentes con equipos,actuar como persona de contacto en investigaciones por accidentes con equipos,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,skill/competence,sector-specific,gestionar el tiempo en actividades de diseño paisajístico,"programar actividades de diseño paisajístico
planificar actividades de diseño paisajístico
administrar el tiempo en actividades de diseño paisajístico",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,skill/competence,sector-specific,asesorar a los clientes en cuestiones aduaneras y de importación o exportación,"asesorar a los clientes
ayudar a los clientes en asuntos de aduanas
orientar a los clientes en asuntos de importación o exportación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,skill/competence,occupation-specific,dirigir un departamento universitario,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,skill/competence,sector-specific,crear bases de datos de terminología,"desarrollar bases de datos de terminología
crear bases de datos terminológicos
elaborar bases de datos de terminología",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,skill/competence,sector-specific,analizar las características nutricionales de los alimentos,"evaluar las características nutricionales de los alimentos
estudiar las características nutricionales de los productos alimenticios
determinar las características nutricionales de los productos alimenticios",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,skill/competence,occupation-specific,reparar bicicletas eléctricas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,skill/competence,sector-specific,mantener equipos de selección de residuos,"reparar equipos de selección de residuos
realizar tareas de mantenimiento en equipos de selección de residuos
garantizar el funcionamiento de equipos de separación de residuos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,skill/competence,sector-specific,explicar características de la habitación de invitados,"explicar características de la habitación para invitados
indicar las características de la habitación de invitados
describir las características de la habitación de invitados
describir la habitación de invitados",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,knowledge,sector-specific,tipos de cebada,"clases de cebada
variedades de cebada",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,knowledge,sector-specific,KDevelop,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,skill/competence,sector-specific,llevar a cabo la compra de piezas y partes,"hacer la compra de piezas y partes
realizar la compra de piezas y partes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,skill/competence,cross-sector,inspeccionar construcciones mar adentro,"examinar las construcciones mar adentro
hacer inspecciones de las construcciones offshore
realizar inspecciones de las construcciones mar adentro
llevar a cabo inspecciones de las construcciones mar adentro",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,skill/competence,sector-specific,trasladar a los pacientes al centro médico,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,skill/competence,occupation-specific,determinar medidas para el troquelado de sobres,"establecer medidas para el troquelado de sobres
definir medidas para el troquelado de sobres
ajustar medidas para el troquelado de sobres",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,skill/competence,sector-specific,preparar los aceites,elegir y mezclar los aceites,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,skill/competence,sector-specific,comprar suministros,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,skill/competence,sector-specific,aspirar a la excelencia en la fabricación de productos alimenticios,"buscar la excelencia en la fabricación de productos alimenticios
tender a la excelencia en la fabricación de productos alimenticios",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,skill/competence,sector-specific,seguir las normas de higiene personal cuando se realizan actividades de limpieza,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,skill/competence,cross-sector,dar instrucciones a los mecanógrafos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,skill/competence,sector-specific,evaluar las operaciones ferroviarias,"valorar las operaciones ferroviarias
examinar las operaciones ferroviarias",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,skill/competence,occupation-specific,practicar deportes extremos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,skill/competence,occupation-specific,prever un acompañante para niños en el rodaje,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,skill/competence,cross-sector,realizar diversas tareas organizativas en la empresa,"gestionar tareas de compra de material y equipos
planificar programas de producción
coordinar tareas de los miembros de equipos
gestionar el stock y las ventas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,skill/competence,sector-specific,utilizar herramientas para grabar vidrio,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,skill/competence,sector-specific,manejar bolas de demolición,"operar bolas de demolición
manejar bolas de derribo
utilizar bolas de demolición",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,skill/competence,cross-sector,evaluar la calidad de la prenda de vestir,"determinar la calidad de la prenda de vestir
analizar la calidad de la prenda de vestir
evaluar la calidad de la prenda de ropa
sopesar la calidad de la prenda de vestir
determinar la calidad de la prenda de ropa",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,skill/competence,occupation-specific,solicitar devoluciones,"pedir devoluciones
demandar devoluciones",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,knowledge,sector-specific,Absorb (sistemas de gestión de aprendizaje),,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,skill/competence,occupation-specific,realizar tareas administrativas en buques pequeños,"encargarse de la administración de barcos pequeños
llevar a cabo tareas administrativas en barcos pequeños",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,knowledge,sector-specific,ingredientes cosméticos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,knowledge,occupation-specific,dinámica humana como parte de la seguridad en establecimientos de hostelería,"conductas humanas como parte de la seguridad en establecimientos de hostelería
comportamiento humano como parte de la seguridad en establecimientos de hostelería
comportamiento de las personas como parte de la seguridad en establecimientos de hostelería
dinámica de las personas como parte de la seguridad en establecimientos de hostelería",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,skill/competence,cross-sector,asesorar sobre materiales de construcción,"informar sobre materiales de construcción
aconsejar sobre materiales de construcción
orientar sobre materiales de construcción",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,skill/competence,sector-specific,mantener equipos rotatorios,"realizar tareas de mantenimiento en equipos rotatorios
reconstruir equipos rotatorios
reemplazar equipos rotatorios",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,skill/competence,occupation-specific,gestionar a los voluntarios que trabajan en una tienda de segunda mano,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,skill/competence,occupation-specific,bombear productos para almacenarlos,bombear mercancías para almacenarlas,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,knowledge,sector-specific,ciencias médico-biológicas y médicas relacionadas con la odontología,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,skill/competence,sector-specific,prestar atención a detalles en procedimientos de colada,"verificar la calidad de los moldes en procedimientos de colada
analizar detalles sobre moldes de colada
observar especificidades en procedimientos de colada",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,knowledge,cross-sector,ciencia biomédica,"biomedicina
ciencias naturales aplicadas a la medicina",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,skill/competence,sector-specific,estar al día de los productos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,skill/competence,transversal,escribir en húngaro,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,skill/competence,sector-specific,controlar fluidos de perforación,"controlar lodos de perforación
controlar barros de perforación
controlar fangos de perforación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,skill/competence,sector-specific,desarrollar planes para la eficiencia del transporte marítimo,"crear planes para la eficiencia del transporte marítimo
gestionar planes para la eficiencia del transporte marítimo",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,skill/competence,cross-sector,ocuparse de empaquetadoras,"manejar envasadoras
encargarse de envasadoras
encargarse de máquinas de embalaje
ocuparse de envasadoras",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,skill/competence,occupation-specific,informar sobre técnicas de manipulación de productos de arcilla,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,skill/competence,sector-specific,mantener equipos de perforación,"reparar equipos de perforación
detectar deficiencias de equipos de perforación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,skill/competence,sector-specific,controlar las enfermedades de los árboles,"talar árboles enfermos
eliminar árboles enfermos
identificar las enfermedades de los árboles",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,skill/competence,sector-specific,analizar el concepto artístico en función de las actuaciones teatrales,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,skill/competence,sector-specific,migrar datos existentes,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,skill/competence,cross-sector,gestionar los suministros,"administrar los suministros
supervisar y controlar el flujo de suministros
administrar el flujo de suministros",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6,knowledge,sector-specific,factores humanos relacionados con la seguridad,"factores humanos y seguridad
factores de seguridad humana",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/021cf226-3dac-4712-9738-24bf0952c064,skill/competence,sector-specific,mantener tejados,"inspeccionar tejados
reparar tejados
detectar averías en tejados
realizar tareas de mantenimiento de tejados",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0227a4f4-f979-4e5a-bd11-93744f339246,knowledge,sector-specific,tipos de digestores,"modelos de digestores
categorías de digestores
clases de digestores",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,skill/competence,sector-specific,definir la estructura física de bases de datos,"fijar la estructura física de bases de datos
elaborar la estructura física de bases de datos
determinar la estructura física de bases de datos
establecer la estructura física de bases de datos
crear la estructura física de bases de datos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,skill/competence,occupation-specific,colocar piedras,"construir paredes de piedra
colocar adoquines
construir escaleras de piedra",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,skill/competence,occupation-specific,montar el equipo de amarres de un circo,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b,skill/competence,occupation-specific,hacer un diagnóstico de salud bucodental,realizar un diagnóstico de salud bucodental,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,knowledge,cross-sector,geomática,"información geoespacial
tecnología geoespacial
ingeniería geomática
información espacial",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,knowledge,cross-sector,normas en materia de exposición a la contaminación,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,knowledge,sector-specific,Maltego,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,skill/competence,cross-sector,buscar fuentes históricas en archivos,"buscar en los archivos para encontrar fuentes históricas
hacer investigación con fuentes históricas
consultar fuentes históricas en archivos
realizar investigación con fuentes históricas
llevar a cabo investigación con fuentes históricas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024910a2-1ee8-4f07-bac6-33b577d9392e,skill/competence,occupation-specific,realizar el seguimiento de los combates entre intérpretes,"realizar el seguimiento de las peleas entre intérpretes
realizar el seguimiento de las luchas entre intérpretes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9,skill/competence,occupation-specific,elaborar una biblia del guionista,"elaborar un manual del guionista
redactar una biblia del guionista
redactar un manual del guionista",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,skill/competence,cross-sector,operar el equipo de radio,"trabajar con el equipo de radio
utilizar el equipo de radio",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,skill/competence,sector-specific,retirar materiales contaminados,"eliminar materiales contaminados
apartar material y equipos contaminados",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,skill/competence,cross-sector,verificar la calidad de la pintura,"asegurarse de la calidad de la pintura
controlar la calidad de la pintura",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/027f47ba-2435-47dc-9fd3-5f05c6a52e93,knowledge,sector-specific,modelos de cajas,"estilos de cajas
formatos de cajas
tipos de cajas
clases de cajas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,skill/competence,sector-specific,recopilar información financiera relativa a una propiedad,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,skill/competence,cross-sector,efectuar el seguimiento de operaciones financieras,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,skill/competence,sector-specific,contribuir a promover la calidad de los servicios de fisioterapia,"colaborar en la promoción de la calidad de los servicios de fisioterapia
ayudar a promover la calidad de los servicios de fisioterapia",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02a78cf3-8b31-4911-bcad-c989a1b7ff40,skill/competence,occupation-specific,instalar radiadores,"instalar calderas
instalar calefactores
instalar sistemas de calefacción
montar radiadores",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,skill/competence,sector-specific,aconsejar a los clientes sobre el uso de productos para el cuidado de las mascotas,"orientar a los clientes sobre el uso de productos para el cuidado de las mascotas
asesorar a los clientes sobre el uso de productos para el cuidado de las mascotas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,skill/competence,cross-sector,utilizar equipos de teledetección,"manejar equipos de teledetección
servirse de equipos de teleobservación",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02bbd0fb-b108-49a8-9c48-5b0c447d3fdf,skill/competence,occupation-specific,calcular las medidas de la contrahuella y del tramo de escaleras,"calcular las medidas de escalones
determinar las medidas de la contrahuella y del tramo de escaleras",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02bf9522-bd6e-4482-be03-1827483be21a,knowledge,sector-specific,primeros auxilios para animales,"socorrismo para animales
auxilio de animales en caso de emergencias
ayuda de emergencia para animales",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,skill/competence,sector-specific,ponerse en el lugar de grupos externos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02c462b7-b93b-44a7-ba3a-9d3b7a163f51,skill/competence,sector-specific,dotar de un contexto a las noticias,"dotar de un contexto a las piezas informativas
dotar de un contexto a la información",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,knowledge,sector-specific,diagramas de circuitos,"esquemas de circuitos
gráficos de circuitos",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02c7caf4-4e8b-4745-8917-dbbd3af17c28,skill/competence,sector-specific,registrar una producción artística,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d5c52b-e7f9-4d8c-adc2-d0332f49535b,skill/competence,occupation-specific,instalar paneles de servicio de pasajeros,"montar paneles de servicio de pasajeros
colocar paneles de servicio de pasajeros",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,skill/competence,transversal,comprender el coreano escrito,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e0b3e9-c9e0-4063-983b-b5a7697e0f78,skill/competence,sector-specific,llevar un registro de las conclusiones de las investigaciones sobre el estado de los puentes,"crear un registro de las conclusiones de las investigaciones sobre el estado de los puentes
tener un registro de las conclusiones de las investigaciones sobre el estado de los puentes",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e1ca57-0715-438b-886d-f0f938ac3efc,knowledge,occupation-specific,elementos de máquinas de chorro de arena,"partes de máquinas de chorro de arena
piezas de máquinas de chorro de arena
componentes de máquinas de chorro de arena",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e22093-3436-46a8-8dc5-b041bc4800cc,skill/competence,occupation-specific,crear modelos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,skill/competence,sector-specific,seguir procedimientos de control de sustancias peligrosas para la salud,"realizar un seguimiento de procedimientos de control de sustancias peligrosas para la salud
seguir procedimientos COSHH
ocuparse de la aplicación de procedimientos de control de sustancias peligrosas para la salud
aplicar procedimientos de control de sustancias peligrosas para la salud",
